!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  WISE filter system
!
!        Teff    Logg   [M/H]   [a/H]        W1_W10      W2_W10      W3_W10      W4_W10
      5000.00    5.50    0.00    0.00       -39.790     -39.747     -39.810     -39.818
      5100.00    2.50    0.00    0.00       -39.777     -39.736     -39.810     -39.818
      5100.00    3.00    0.00    0.00       -39.793     -39.748     -39.826     -39.833
      5100.00    3.50    0.00    0.00       -39.797     -39.756     -39.827     -39.836
      5100.00    4.00    0.00    0.00       -39.803     -39.763     -39.830     -39.838
      5100.00    4.50    0.00    0.00       -39.807     -39.766     -39.830     -39.838
      5100.00    5.00    0.00    0.00       -39.811     -39.771     -39.831     -39.839
      5100.00    5.50    0.00    0.00       -39.814     -39.772     -39.830     -39.837
      5200.00    2.50    0.00    0.00       -39.808     -39.765     -39.841     -39.849
      5200.00    3.00    0.00    0.00       -39.816     -39.775     -39.847     -39.855
