Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
3200.00,3.00,-34.509,-32.544,-35.743,-37.837,-38.642,-38.823,-38.806,-39.002,-39.135,-39.258
3200.00,3.50,-34.669,-32.806,-35.884,-37.853,-38.537,-38.753,-38.798,-39.009,-39.140,-39.259
3200.00,4.00,-34.789,-33.051,-35.978,-37.841,-38.462,-38.704,-38.808,-39.019,-39.160,-39.272
3200.00,4.50,-34.881,-33.253,-36.045,-37.827,-38.423,-38.681,-38.826,-39.028,-39.180,-39.283
3200.00,5.00,-34.893,-33.279,-36.053,-37.812,-38.402,-38.664,-38.822,-39.011,-39.169,-39.264
3200.00,5.50,-34.929,-33.335,-36.084,-37.818,-38.417,-38.672,-38.834,-39.000,-39.168,-39.255
3300.00,2.50,-34.587,-32.682,-35.808,-37.881,-38.810,-39.005,-38.968,-39.082,-39.217,-39.319
3300.00,3.00,-34.722,-32.913,-35.926,-37.916,-38.771,-38.953,-38.927,-39.078,-39.204,-39.314
3300.00,3.50,-34.871,-33.152,-36.057,-37.941,-38.678,-38.880,-38.900,-39.077,-39.196,-39.306
3300.00,4.00,-35.010,-33.423,-36.165,-37.934,-38.579,-38.814,-38.902,-39.088,-39.216,-39.321
3300.00,4.50,-35.099,-33.603,-36.230,-37.925,-38.535,-38.782,-38.905,-39.091,-39.227,-39.326
3300.00,5.00,-35.139,-33.681,-36.260,-37.918,-38.514,-38.764,-38.905,-39.081,-39.223,-39.315
3300.00,5.50,-35.168,-33.735,-36.281,-37.911,-38.509,-38.759,-38.912,-39.070,-39.224,-39.309
3400.00,2.50,-34.839,-33.096,-36.026,-37.966,-38.907,-39.111,-39.088,-39.148,-39.283,-39.367
3400.00,3.00,-34.947,-33.296,-36.116,-37.997,-38.884,-39.070,-39.045,-39.146,-39.270,-39.365
3400.00,3.50,-35.069,-33.477,-36.224,-38.028,-38.808,-39.001,-39.001,-39.140,-39.249,-39.349
3400.00,4.00,-35.226,-33.777,-36.343,-38.022,-38.700,-38.927,-39.002,-39.154,-39.276,-39.372
3400.00,4.50,-35.322,-33.960,-36.415,-38.019,-38.647,-38.887,-38.996,-39.156,-39.283,-39.376
3400.00,5.00,-35.352,-34.025,-36.434,-38.001,-38.603,-38.848,-38.981,-39.143,-39.276,-39.364
3400.00,5.50,-35.411,-34.121,-36.480,-38.012,-38.610,-38.852,-38.993,-39.140,-39.281,-39.363
