Name,WISE_ID,RA,DEC
AWI0005wh4,J053301.76-044918.5,83.2573369,-4.82181
AWI00061e1,J053307.44-350821.9,83.28101,-35.1394
AWI00062w9,J053317.21+103553.0,83.321922,10.59803
AWI0005wha,J053318.67-003614.1,83.32782669,-0.603928522
AWI0005yr4,J053320.98-062233.3,83.3374475,-6.3759364
AWI0005whb,J053325.10-040329.9,83.3546114,-4.0583154
AWI0005whd,J053330.78-030755.7,83.3782625,-3.13218
AWI0005yr7,J053333.00-061837.5,83.3875256,-6.3104402
AWI0005whh,J053334.25-044345.7,83.3927304,-4.7293742
AWI0002d81,J053335.18+440000.9,83.3965861,44.0002997 
AWI0004nij,J053337.22+232020.4,83.40511485,23.33898557
AWI0005afe,J053337.86+631922.3,83.407869,63.322902
AWI0005whj,J053343.25-010834.6,83.43026195,-1.142983617
AWI0005yr9,J053345.39-060425.7,83.4391007,-6.0737519
AWI0005who,J053354.76-041627.2,83.47818,-4.27422
AWI0005whp,J053355.80-044749.4,83.4825258,-4.7970694
AWI000428h,J053359.77+253734.8,83.49899452,25.62628876  
AWI0005whq,J053359.84-000506.4,83.4993708,-0.0851199
AWI0005whs,J053402.33-000052.7,83.5097247,-0.014662985
AWI0005yrd,J053406.95-063207.8,83.5289921,-6.5355231
AWI0005whw,J053414.16-053654.2,83.55901029,-5.615053572
AWI0005wi9,J053436.14-060534.6,83.6505973,-6.092966
AWI00023p7,J053438.68+402609.4,83.66119274,40.43595298
AWI0005wie,J053448.34-063026.8,83.7014255,-6.5074703
AWI0005yrg,J053451.81-073819.8,83.71592412,-7.63885804
AWI0005yrh,J053455.25-104808.6,83.7302366,-10.8024153
AWI0005wip,J053506.06-055700.9,83.7752888,-5.9502651
AWI0005wit,J053510.05-060536.5,83.7918846,-6.0934765
AWI00062vu,J053519.92+100236.5,83.8330152,10.04349 
AWI0005wj0,J053519.99-001651.4,83.8333232,-0.2809664
AWI00055xe,J053523.12+594548.1,83.84633698,59.76339992
AWI00062vr,J053525.36+100838.3,83.8556798,10.14399 
AWI0005wj9,J053525.37-055321.6,83.85574742,-5.889319558
AWI0005wjc,J053528.53-012531.4,83.8688841,-1.4254044
AWI0005wjd,J053531.78-002306.5,83.8824362,-0.3851532
AWI0005wjj,J053534.82+022708.1,83.8950937,2.4522576
AWI00062vq,J053541.03+091319.6,83.9209961,9.2221092 
AWI0005wk0,J053555.43-011331.9,83.98100958,-1.22553795
AWI0005wk4,J053558.62-010445.3,83.9942691,-1.0792666
AWI0005wk5,J053558.98-014546.5,83.995832,-1.76294
AWI0005wku,J053628.55+000445.6,84.1189592,0.0793417
AWI0005wl4,J053636.93-063324.0,84.153893,-6.5566752
AWI0005wl5,J053637.00-021051.3,84.1541842,-2.1809108
AWI0005wld,J053649.66-050409.3,84.2069176,-5.0692765
AWI0005wlk,J053657.32-012607.3,84.23882966,-1.435394562
AWI00055xg,J053707.15+603636.4,84.279838,60.61014
AWI000428p,J053715.39+244917.3,84.31415569,24.82145913
AWI0005wlv,J053717.27-063618.2,84.3219964,-6.6050785
AWI0005wm1,J053722.55-025936.4,84.34395615,-2.993449909 
AWI0005wm2,J053724.47-065832.9,84.3519742,-6.9758287
AWI0005wm3,J053730.04-004852.1,84.37518,-0.81448
AWI0005wm5,J053730.94-022342.7,84.3789566,-2.395215
AWI0005wm8,J053736.85-020817.7,84.40356418,-2.138256404
AWI0005wmc,J053747.08-064230.1,84.44616709,-6.708389031
AWI0003cum,J053759.82+281200.8,84.499296,28.200131
AWI0000zsf,J053802.18+341934.4,84.50905341,34.32623993
AWI0005wmt,J053804.95-071610.8,84.5206555,-7.2696686
AWI0005wmx,J053807.26-050118.1,84.5302881,-5.0217057
AWI0001qsl,J053815.82+374440.5,84.56592475,37.74460057
AWI0005wnb,J053817.43-070939.6,84.572634,-7.161021
AWI0005wnj,J053825.78-052211.0,84.6074353,-5.3697211
AWI0005wnp,J053830.23-040246.1,84.6259638,-4.0461599
AWI0005wnq,J053831.41-023633.8,84.6309035,-2.6094002
AWI0005wnw,J053836.60-074634.4,84.652522,-7.7762269
AWI0005wnx,J053836.65-071100.2,84.6527271,-7.1833908
AWI0005wnz,J053839.81-025646.2,84.66591761,-2.946182114
AWI0002d85,J053849.57+422354.6,84.70658199,42.39845661
AWI00034v5,J053915.14+300902.0,84.8130896,84.8130896
AWI0005woq,J053915.24-064402.6,84.81356784,-6.733985615
AWI00062uz,J053922.33+081230.0,84.84305726,8.208311972
AWI00061mc,J053930.48-404102.4,84.87704,-40.684
AWI0003lz5,J053930.51+262226.9,84.87712573,26.37413858
